line,rep,dai,dead_seedlings,total_seedlings,isolate
harosoy,rep1,dai.10,4,10,OH1
harosoy,rep1,dai.5,4,10,OH1
harosoy,rep3,dai.10,6,8,OH1
harosoy,rep3,dai.5,6,8,OH1
LD02-4485,rep1,dai.10,0,17,OH1
LD02-4485,rep1,dai.5,0,17,OH1
LD02-4485,rep2,dai.10,0,10,OH1
LD02-4485,rep2,dai.5,0,10,OH1
LD02-4485,rep3,dai.10,3,9,OH1
LD02-4485,rep3,dai.5,3,9,OH1
LD07-3395bf,rep1,dai.10,3,21,OH1
LD07-3395bf,rep1,dai.5,2,21,OH1
LD07-3395bf,rep2,dai.10,5,7,OH1
LD07-3395bf,rep2,dai.5,5,7,OH1
LD07-3395bf,rep3,dai.10,8,10,OH1
LD07-3395bf,rep3,dai.5,9,10,OH1
LD08-12435a,rep1,dai.10,3,24,OH1
LD08-12435a,rep1,dai.5,3,24,OH1
LD08-12435a,rep2,dai.10,6,7,OH1
LD08-12435a,rep2,dai.5,7,7,OH1
LD08-12435a,rep3,dai.10,7,7,OH1
LD08-12435a,rep3,dai.5,7,7,OH1
LD08-12441a,rep1,dai.10,3,10,OH1
LD08-12441a,rep1,dai.5,3,10,OH1
LD08-12441a,rep2,dai.10,2,10,OH1
LD08-12441a,rep2,dai.5,1,10,OH1
LD08-12441a,rep3,dai.10,9,11,OH1
LD08-12441a,rep3,dai.5,9,11,OH1
LD09-10911,rep1,dai.10,0,7,OH1
LD09-10911,rep1,dai.5,0,7,OH1
LD09-10911,rep2,dai.10,0,9,OH1
LD09-10911,rep2,dai.5,0,9,OH1
LD09-10911,rep3,dai.10,8,9,OH1
LD09-10911,rep3,dai.5,8,9,OH1
LD09-30224,rep1,dai.10,2,8,OH1
LD09-30224,rep1,dai.5,2,8,OH1
LD09-30224,rep2,dai.10,0,9,OH1
LD09-30224,rep2,dai.5,0,9,OH1
LD09-30224,rep3,dai.10,8,10,OH1
LD09-30224,rep3,dai.5,8,10,OH1
LD10-10198,rep1,dai.10,5,9,OH1
LD10-10198,rep1,dai.5,5,9,OH1
LD10-10198,rep2,dai.10,5,10,OH1
LD10-10198,rep2,dai.5,5,10,OH1
LD10-10198,rep3,dai.10,9,9,OH1
LD10-10198,rep3,dai.5,9,9,OH1
LD10-10219,rep1,dai.10,3,10,OH1
LD10-10219,rep1,dai.5,3,10,OH1
LD10-10219,rep2,dai.10,2,10,OH1
LD10-10219,rep2,dai.5,2,10,OH1
LD10-10219,rep3,dai.10,8,9,OH1
LD10-10219,rep3,dai.5,8,9,OH1
LD10-5213a,rep1,dai.10,2,7,OH1
LD10-5213a,rep1,dai.5,2,7,OH1
LD10-5213a,rep2,dai.10,10,10,OH1
LD10-5213a,rep2,dai.5,10,10,OH1
LD10-5213a,rep3,dai.10,8,10,OH1
LD10-5213a,rep3,dai.5,8,10,OH1
LD10-9168,rep1,dai.10,2,6,OH1
LD10-9168,rep1,dai.5,1,6,OH1
LD10-9168,rep2,dai.10,8,8,OH1
LD10-9168,rep2,dai.5,8,8,OH1
LD10-9168,rep3,dai.10,7,7,OH1
LD10-9168,rep3,dai.5,7,7,OH1
LD10-9200,rep1,dai.10,4,8,OH1
LD10-9200,rep1,dai.5,4,8,OH1
LD10-9200,rep2,dai.10,2,10,OH1
LD10-9200,rep2,dai.5,2,10,OH1
LD10-9200,rep3,dai.10,8,8,OH1
LD10-9200,rep3,dai.5,8,8,OH1
LD11-10069,rep1,dai.10,0,10,OH1
LD11-10069,rep1,dai.5,0,10,OH1
LD11-10069,rep2,dai.10,0,8,OH1
LD11-10069,rep2,dai.5,0,8,OH1
LD11-10069,rep3,dai.10,1,9,OH1
LD11-10069,rep3,dai.5,1,9,OH1
LD11-13802R2,rep1,dai.10,0,8,OH1
LD11-13802R2,rep1,dai.5,0,8,OH1
LD11-13802R2,rep2,dai.10,1,10,OH1
LD11-13802R2,rep2,dai.5,1,10,OH1
LD11-13802R2,rep3,dai.10,0,10,OH1
LD11-13802R2,rep3,dai.5,0,10,OH1
LD11-14102R2,rep1,dai.10,0,10,OH1
LD11-14102R2,rep1,dai.5,0,10,OH1
LD11-14102R2,rep2,dai.10,4,9,OH1
LD11-14102R2,rep2,dai.5,4,9,OH1
LD11-14102R2,rep3,dai.10,5,10,OH1
LD11-14102R2,rep3,dai.5,5,10,OH1
LD11-2170,rep1,dai.10,0,8,OH1
LD11-2170,rep1,dai.5,0,8,OH1
LD11-2170,rep2,dai.10,1,10,OH1
LD11-2170,rep2,dai.5,1,10,OH1
LD11-2170,rep3,dai.10,0,7,OH1
LD11-2170,rep3,dai.5,0,7,OH1
LD11-7311,rep1,dai.10,0,9,OH1
LD11-7311,rep1,dai.5,0,9,OH1
LD11-7311,rep2,dai.10,0,8,OH1
LD11-7311,rep2,dai.5,0,8,OH1
LD11-7311,rep3,dai.10,0,10,OH1
LD11-7311,rep3,dai.5,0,10,OH1
LD12-10534,rep1,dai.10,0,10,OH1
LD12-10534,rep1,dai.5,0,10,OH1
LD12-10534,rep2,dai.10,6,9,OH1
LD12-10534,rep2,dai.5,6,9,OH1
LD12-10534,rep3,dai.10,8,10,OH1
LD12-10534,rep3,dai.5,8,10,OH1
LD12-12701a,rep1,dai.10,0,10,OH1
LD12-12701a,rep1,dai.5,0,10,OH1
LD12-12701a,rep2,dai.10,5,10,OH1
LD12-12701a,rep2,dai.5,5,10,OH1
LD12-12701a,rep3,dai.10,7,8,OH1
LD12-12701a,rep3,dai.5,6,8,OH1
LD12-15064R1a,rep1,dai.10,0,8,OH1
LD12-15064R1a,rep1,dai.5,0,8,OH1
LD12-15064R1a,rep2,dai.10,0,5,OH1
LD12-15064R1a,rep2,dai.5,0,5,OH1
LD12-15129R1a,rep1,dai.10,0,10,OH1
LD12-15129R1a,rep1,dai.5,0,10,OH1
LD12-15129R1a,rep2,dai.10,4,7,OH1
LD12-15129R1a,rep2,dai.5,3,7,OH1
LD12-15129R1a,rep3,dai.10,9,10,OH1
LD12-15129R1a,rep3,dai.5,1,10,OH1
LD12-15156R1a,rep1,dai.10,0,7,OH1
LD12-15156R1a,rep1,dai.5,0,7,OH1
LD12-15156R1a,rep2,dai.10,1,10,OH1
LD12-15156R1a,rep2,dai.5,1,10,OH1
LD12-15156R1a,rep3,dai.10,0,10,OH1
LD12-15156R1a,rep3,dai.5,0,10,OH1
LD12-15246R2a,rep1,dai.10,0,8,OH1
LD12-15246R2a,rep1,dai.5,0,8,OH1
LD12-15246R2a,rep2,dai.10,0,7,OH1
LD12-15246R2a,rep2,dai.5,0,7,OH1
LD12-15246R2a,rep3,dai.10,4,10,OH1
LD12-15246R2a,rep3,dai.5,3,10,OH1
LD12-15609R2,rep1,dai.10,7,10,OH1
LD12-15609R2,rep1,dai.5,7,10,OH1
LD12-15609R2,rep2,dai.10,4,9,OH1
LD12-15609R2,rep2,dai.5,4,9,OH1
LD12-15609R2,rep3,dai.10,5,6,OH1
LD12-15609R2,rep3,dai.5,5,6,OH1
LD12-3866,rep1,dai.10,5,8,OH1
LD12-3866,rep1,dai.5,5,8,OH1
LD12-3866,rep2,dai.10,9,9,OH1
LD12-3866,rep2,dai.5,9,9,OH1
LD12-3866,rep3,dai.10,9,9,OH1
LD12-3866,rep3,dai.5,9,9,OH1
LD12-459,rep1,dai.10,1,7,OH1
LD12-459,rep1,dai.5,1,7,OH1
LD12-459,rep2,dai.10,1,8,OH1
LD12-459,rep2,dai.5,1,8,OH1
LD12-459,rep3,dai.10,9,9,OH1
LD12-459,rep3,dai.5,9,9,OH1
LD12-6010a,rep1,dai.10,0,8,OH1
LD12-6010a,rep1,dai.5,0,8,OH1
LD12-6010a,rep2,dai.10,3,10,OH1
LD12-6010a,rep2,dai.5,3,10,OH1
LD12-6010a,rep3,dai.10,9,10,OH1
LD12-6010a,rep3,dai.5,9,10,OH1
LD12-8677,rep1,dai.10,0,9,OH1
LD12-8677,rep1,dai.5,0,9,OH1
LD12-8677,rep2,dai.10,1,8,OH1
LD12-8677,rep2,dai.5,1,8,OH1
LD13-13334R1a,rep1,dai.10,0,9,OH1
LD13-13334R1a,rep1,dai.5,0,9,OH1
LD13-13334R1a,rep2,dai.10,0,8,OH1
LD13-13334R1a,rep2,dai.5,0,8,OH1
LD13-13334R1a,rep3,dai.10,0,9,OH1
LD13-13334R1a,rep3,dai.5,0,9,OH1
LD13-13478R1a,rep1,dai.10,2,10,OH1
LD13-13478R1a,rep1,dai.5,2,10,OH1
LD13-13478R1a,rep2,dai.10,4,9,OH1
LD13-13478R1a,rep2,dai.5,2,9,OH1
LD13-13478R1a,rep3,dai.10,8,9,OH1
LD13-13478R1a,rep3,dai.5,8,9,OH1
LD13-14071R2,rep1,dai.10,0,10,OH1
LD13-14071R2,rep1,dai.5,0,10,OH1
LD13-14071R2,rep2,dai.10,0,9,OH1
LD13-14071R2,rep2,dai.5,0,9,OH1
LD13-14071R2,rep3,dai.10,0,10,OH1
LD13-14071R2,rep3,dai.5,0,10,OH1
williams79,rep2,dai.10,0,7,OH1
williams79,rep2,dai.5,0,7,OH1
williams,rep1,dai.10,6,8,OH1
williams,rep1,dai.5,6,8,OH1
williams,rep2,dai.10,5,7,OH1
williams,rep2,dai.5,5,7,OH1
williams,rep3,dai.10,NA,8,OH1
williams,rep3,dai.5,7,8,OH1
harlon,rep2,dai.5,3,10,OH3
harlon,rep3,dai.10,8,8,OH3
harlon,rep3,dai.5,8,8,OH3
harosoy,rep1,dai.10,6,9,OH3
harosoy,rep1,dai.5,5,9,OH3
LD02-4485,rep1,dai.10,4,10,OH3
LD02-4485,rep1,dai.5,4,10,OH3
LD02-4485,rep2,dai.10,8,13,OH3
LD02-4485,rep2,dai.5,8,13,OH3
LD02-4485,rep3,dai.10,7,10,OH3
LD02-4485,rep3,dai.5,7,10,OH3
LD07-3395bf,rep1,dai.10,5,6,OH3
LD07-3395bf,rep1,dai.5,5,6,OH3
LD07-3395bf,rep2,dai.10,9,9,OH3
LD07-3395bf,rep2,dai.5,9,9,OH3
LD07-3395bf,rep3,dai.10,8,8,OH3
LD07-3395bf,rep3,dai.5,8,8,OH3
LD08-12435a,rep1,dai.10,7,7,OH3
LD08-12435a,rep1,dai.5,7,7,OH3
LD08-12435a,rep2,dai.10,4,13,OH3
LD08-12435a,rep2,dai.5,4,13,OH3
LD08-12435a,rep3,dai.10,6,6,OH3
LD08-12435a,rep3,dai.5,6,6,OH3
LD08-12441a,rep1,dai.10,1,8,OH3
LD08-12441a,rep1,dai.5,1,8,OH3
LD08-12441a,rep2,dai.10,1,5,OH3
LD08-12441a,rep2,dai.5,1,5,OH3
LD08-12441a,rep3,dai.10,4,5,OH3
LD08-12441a,rep3,dai.5,3,5,OH3
LD09-10911,rep1,dai.10,1,7,OH3
LD09-10911,rep1,dai.5,1,7,OH3
LD09-10911,rep2,dai.10,5,7,OH3
LD09-10911,rep2,dai.5,5,7,OH3
LD09-10911,rep3,dai.10,9,9,OH3
LD09-10911,rep3,dai.5,9,9,OH3
LD09-30224,rep1,dai.10,1,10,OH3
LD09-30224,rep1,dai.5,1,10,OH3
LD09-30224,rep2,dai.10,0,7,OH3
LD09-30224,rep2,dai.5,0,7,OH3
LD09-30224,rep3,dai.10,7,10,OH3
LD09-30224,rep3,dai.5,7,10,OH3
LD10-10198,rep1,dai.10,1,7,OH3
LD10-10198,rep1,dai.5,1,7,OH3
LD10-10198,rep2,dai.10,5,8,OH3
LD10-10198,rep2,dai.5,5,8,OH3
LD10-10198,rep3,dai.10,10,10,OH3
LD10-10198,rep3,dai.5,10,10,OH3
LD10-10219,rep1,dai.10,7,10,OH3
LD10-10219,rep1,dai.5,7,10,OH3
LD10-10219,rep2,dai.10,7,10,OH3
LD10-10219,rep2,dai.5,7,10,OH3
LD10-10219,rep3,dai.10,9,10,OH3
LD10-10219,rep3,dai.5,9,10,OH3
LD10-5213a,rep1,dai.10,0,6,OH3
LD10-5213a,rep1,dai.5,0,6,OH3
LD10-5213a,rep2,dai.10,8,8,OH3
LD10-5213a,rep2,dai.5,8,8,OH3
LD10-5213a,rep3,dai.10,10,10,OH3
LD10-5213a,rep3,dai.5,10,10,OH3
LD10-9168,rep1,dai.10,3,7,OH3
LD10-9168,rep1,dai.5,3,7,OH3
LD10-9168,rep2,dai.10,5,9,OH3
LD10-9168,rep2,dai.5,5,9,OH3
LD10-9168,rep3,dai.10,9,9,OH3
LD10-9168,rep3,dai.5,8,9,OH3
LD10-9200,rep1,dai.10,1,5,OH3
LD10-9200,rep1,dai.5,1,5,OH3
LD10-9200,rep2,dai.10,7,8,OH3
LD10-9200,rep2,dai.5,7,8,OH3
LD10-9200,rep3,dai.10,8,8,OH3
LD10-9200,rep3,dai.5,8,8,OH3
LD11-10069,rep1,dai.10,0,9,OH3
LD11-10069,rep1,dai.5,0,9,OH3
LD11-10069,rep2,dai.10,0,8,OH3
LD11-10069,rep2,dai.5,0,8,OH3
LD11-10069,rep3,dai.10,4,8,OH3
LD11-10069,rep3,dai.5,4,8,OH3
LD11-13802R2,rep1,dai.10,0,10,OH3
LD11-13802R2,rep1,dai.5,0,10,OH3
LD11-13802R2,rep2,dai.10,2,8,OH3
LD11-13802R2,rep2,dai.5,2,8,OH3
LD11-13802R2,rep3,dai.10,8,9,OH3
LD11-13802R2,rep3,dai.5,8,9,OH3
LD11-14102R2,rep1,dai.10,0,10,OH3
LD11-14102R2,rep1,dai.5,0,10,OH3
LD11-14102R2,rep2,dai.10,7,10,OH3
LD11-14102R2,rep2,dai.5,7,10,OH3
LD11-14102R2,rep3,dai.10,10,10,OH3
LD11-14102R2,rep3,dai.5,10,10,OH3
LD11-2170,rep1,dai.10,0,6,OH3
LD11-2170,rep1,dai.5,0,6,OH3
LD11-2170,rep2,dai.10,1,9,OH3
LD11-2170,rep2,dai.5,1,9,OH3
LD11-2170,rep3,dai.10,6,10,OH3
LD11-2170,rep3,dai.5,6,10,OH3
LD11-7311,rep1,dai.10,0,7,OH3
LD11-7311,rep1,dai.5,0,7,OH3
LD11-7311,rep2,dai.10,2,8,OH3
LD11-7311,rep2,dai.5,2,8,OH3
LD11-7311,rep3,dai.10,7,9,OH3
LD11-7311,rep3,dai.5,7,9,OH3
LD12-10534,rep1,dai.10,7,7,OH3
LD12-10534,rep1,dai.5,7,7,OH3
LD12-10534,rep2,dai.10,9,9,OH3
LD12-10534,rep2,dai.5,9,9,OH3
LD12-10534,rep3,dai.10,8,8,OH3
LD12-10534,rep3,dai.5,8,8,OH3
LD12-12701a,rep1,dai.10,6,7,OH3
LD12-12701a,rep1,dai.5,6,7,OH3
LD12-12701a,rep2,dai.10,5,9,OH3
LD12-12701a,rep2,dai.5,5,9,OH3
LD12-12701a,rep3,dai.10,8,9,OH3
LD12-12701a,rep3,dai.5,8,9,OH3
LD12-15064R1a,rep1,dai.10,0,8,OH3
LD12-15064R1a,rep1,dai.5,0,8,OH3
LD12-15064R1a,rep2,dai.10,0,4,OH3
LD12-15064R1a,rep2,dai.5,0,4,OH3
LD12-15064R1a,rep3,dai.10,5,8,OH3
LD12-15064R1a,rep3,dai.5,5,8,OH3
LD12-15129R1a,rep1,dai.10,0,8,OH3
LD12-15129R1a,rep1,dai.5,0,8,OH3
LD12-15129R1a,rep2,dai.10,0,9,OH3
LD12-15129R1a,rep2,dai.5,0,9,OH3
LD12-15129R1a,rep3,dai.10,3,6,OH3
LD12-15129R1a,rep3,dai.5,3,6,OH3
LD12-15156R1a,rep1,dai.10,0,10,OH3
LD12-15156R1a,rep1,dai.5,0,10,OH3
LD12-15156R1a,rep2,dai.10,2,8,OH3
LD12-15156R1a,rep2,dai.5,2,8,OH3
LD12-15156R1a,rep3,dai.10,1,9,OH3
LD12-15156R1a,rep3,dai.5,1,9,OH3
LD12-15246R2a,rep1,dai.10,1,7,OH3
LD12-15246R2a,rep1,dai.5,1,7,OH3
LD12-15246R2a,rep2,dai.10,2,8,OH3
LD12-15246R2a,rep2,dai.5,2,8,OH3
LD12-15246R2a,rep3,dai.10,4,10,OH3
LD12-15246R2a,rep3,dai.5,4,10,OH3
LD12-15609R2,rep1,dai.10,6,8,OH3
LD12-15609R2,rep1,dai.5,6,8,OH3
LD12-15609R2,rep2,dai.10,9,10,OH3
LD12-15609R2,rep2,dai.5,9,10,OH3
LD12-15609R2,rep3,dai.10,10,10,OH3
LD12-15609R2,rep3,dai.5,10,10,OH3
LD12-3866,rep1,dai.10,5,10,OH3
LD12-3866,rep1,dai.5,4,10,OH3
LD12-3866,rep2,dai.10,7,10,OH3
LD12-3866,rep2,dai.5,7,10,OH3
LD12-3866,rep3,dai.10,10,10,OH3
LD12-3866,rep3,dai.5,10,10,OH3
LD12-459,rep1,dai.10,0,8,OH3
LD12-459,rep1,dai.5,0,8,OH3
LD12-459,rep2,dai.10,7,8,OH3
LD12-459,rep2,dai.5,7,8,OH3
LD12-459,rep3,dai.10,6,6,OH3
LD12-459,rep3,dai.5,6,6,OH3
LD12-6010a,rep1,dai.10,1,8,OH3
LD12-6010a,rep1,dai.5,0,8,OH3
LD12-6010a,rep2,dai.10,9,9,OH3
LD12-6010a,rep2,dai.5,9,9,OH3
LD12-6010a,rep3,dai.10,9,10,OH3
LD12-6010a,rep3,dai.5,8,10,OH3
LD12-8677,rep1,dai.10,6,9,OH3
LD12-8677,rep1,dai.5,6,9,OH3
LD12-8677,rep2,dai.10,4,10,OH3
LD12-8677,rep2,dai.5,4,10,OH3
LD12-8677,rep3,dai.10,8,10,OH3
LD12-8677,rep3,dai.5,8,10,OH3
LD13-13334R1a,rep1,dai.10,0,8,OH3
LD13-13334R1a,rep1,dai.5,0,8,OH3
LD13-13334R1a,rep2,dai.10,0,8,OH3
LD13-13334R1a,rep2,dai.5,0,8,OH3
LD13-13334R1a,rep3,dai.10,2,5,OH3
LD13-13334R1a,rep3,dai.5,2,5,OH3
LD13-13478R1a,rep1,dai.10,7,9,OH3
LD13-13478R1a,rep1,dai.5,7,9,OH3
LD13-13478R1a,rep2,dai.10,5,10,OH3
LD13-13478R1a,rep2,dai.5,5,10,OH3
LD13-13478R1a,rep3,dai.10,10,10,OH3
LD13-13478R1a,rep3,dai.5,10,10,OH3
LD13-14071R2,rep1,dai.10,0,9,OH3
LD13-14071R2,rep1,dai.5,0,9,OH3
LD13-14071R2,rep2,dai.10,0,10,OH3
LD13-14071R2,rep2,dai.5,0,10,OH3
LD13-14071R2,rep3,dai.10,6,10,OH3
LD13-14071R2,rep3,dai.5,4,10,OH3
williams,rep1,dai.10,7,8,OH3
williams,rep1,dai.5,7,8,OH3
harlon,rep2,dai.10,3,7,OH4
harlon,rep2,dai.5,3,7,OH4
harlon,rep3,dai.10,6,6,OH4
harlon,rep3,dai.5,3,6,OH4
harosoy,rep1,dai.10,5,8,OH4
harosoy,rep1,dai.5,4,8,OH4
harosoy,rep3,dai.10,0,0,OH4
LD02-4485,rep1,dai.10,7,10,OH4
LD02-4485,rep1,dai.5,8,10,OH4
LD02-4485,rep2,dai.10,6,8,OH4
LD02-4485,rep2,dai.5,6,8,OH4
LD02-4485,rep3,dai.10,7,8,OH4
LD02-4485,rep3,dai.5,8,8,OH4
LD07-3395bf,rep1,dai.10,4,9,OH4
LD07-3395bf,rep1,dai.5,7,9,OH4
