variety,treatment,block,vc_row1,vc_row2,v2_row1,v2_row2,v4_row1,v4_row2,r8_row1,r8_row2,weight,moisture,yield_bu.acre
LD12-15129R1a,control,1,60,49,58,50,51,48,49,44,4.8499999999999996,12.6,39.30321072796934
LD12-15129R1a,intego,1,63,66,64,64,64,56,54,50,4.7,12.4,38.17480459770115
LD11-7311,intego,1,46,44,45,43,42,46,40,44,6.73,13,54.28866666666668
LD11-7311,control,1,19,24,19,20,20,19,20,19,6,12.6,48.62252873563219
LD10-10219,intego,1,60,70,59,70,65,66,57,45,6.51,13.7,52.091473563218386
LD10-10219,control,1,58,58,52,56,52,53,48,51,5.95,12.6,48.21734099616859
LD12-15156R1a,intego,1,17,28,30,17,17,29,17,24,6.43,12.6,52.107143295019156
LD12-15156R1a,control,1,54,45,45,57,54,41,49,32,5.92,12.3,48.13889961685823
LD07-3395bf,control,1,12,19,20,10,10,20,10,16,4.84,11.9,39.536309578544056
LD07-3395bf,intego,1,28,41,42,27,28,40,26,35,6.3,12.9,50.87841379310345
LD11-13802R2,intego,1,35,61,59,34,35,56,28,46,6.35,13.5,50.928946360153255
LD11-13802R2,control,1,35,48,47,33,34,46,34,38,6.21,13.4,49.86368275862068
LD12-15064R1a,control,1,55,53,52,55,53,47,38,44,4.47,12.3,36.348121839080456
LD12-15064R1a,intego,1,59,64,60,66,66,54,55,48,5.27,16.399999999999999,40.84997088122605
LD13-14071R2,control,1,64,57,67,63,57,63,50,45,7.41,13.4,59.499177011494254
LD13-14071R2,intego,1,65,65,64,65,67,58,57,42,8.77,13.7,70.17545670498083
LD13-13478R1a,control,1,25,27,31,23,24,29,23,24,6.13,12.3,49.84652950191571
LD13-13478R1a,intego,1,53,55,55,55,52,53,34,29,7.34,13.3,59.0051632183908
LD10-10219,control,2,24,52,26,51,25,49,25,46,4.63,11.6,37.94967969348659
LD10-10219,intego,2,63,59,63,59,58,62,53,41,5.19,11.9,42.39534022988505
LD12-15156R1a,intego,2,61,61,57,63,59,49,49,48,7.04,12.9,56.85460842911878
LD12-15156R1a,control,2,34,46,36,46,37,42,37,28,5.88,12.3,47.8136367816092
LD07-3395bf,control,2,18,26,25,18,24,16,14,15,6.09,12.9,49.182466666666656
LD07-3395bf,intego,2,51,53,51,57,50,49,33,24,8.2200000000000006,13.5,65.92691954022989
LD11-13802R2,control,2,43,42,29,45,44,28,36,27,5.13,12.3,41.71495862068965
LD11-13802R2,intego,2,56,67,67,58,52,65,51,54,5.66,12.4,45.972211494252875
LD11-7311,intego,2,57,58,58,61,55,55,55,51,6.73,12.6,54.53826973180078
LD11-7311,control,2,35,24,28,33,32,38,32,28,5.31,11.9,43.37557931034482
LD12-15064R1a,intego,2,49,59,58,48,58,45,40,38,4.53,13.1,36.499997701149425
LD12-15064R1a,control,2,52,47,49,51,49,50,45,50,4.5199999999999996,12.8,36.54515249042145
LD12-15129R1a,intego,2,66,63,66,64,64,60,51,51,6.25,13.7,50.0110153256705
LD12-15129R1a,control,2,52,52,57,55,53,53,34,37,4.97,12.7,40.229579310344825
LD13-14071R2,control,2,59,59,60,59,56,58,44,48,7.54,13.3,60.61293333333334
LD13-14071R2,intego,2,69,62,64,68,48,68,50,52,7.84,13.6,62.806510344827586
LD13-13478R1a,intego,2,35,43,45,40,45,41,38,31,6.5,12.1,52.97574712643679
LD13-13478R1a,control,2,54,50,54,54,45,52,35,42,6.76,13.1,54.467987739463595
LD12-15129R1a,control,3,57,58,55,57,51,56,46,37,6.19,13.6,49.58830344827587
LD12-15129R1a,intego,3,66,59,57,67,55,63,42,57,5.85,13.5,46.918793103448266
LD11-13802R2,control,3,55,59,58,60,55,57,49,51,5.69,12.4,46.21588045977011
LD11-13802R2,intego,3,57,60,60,61,60,60,54,47,5.54,12.1,45.151636781609206
LD13-13478R1a,control,3,43,49,43,50,46,46,38,42,6.43,12.5,52.16676245210728
LD13-13478R1a,intego,3,59,56,60,59,51,57,45,42,6.93,13.5,55.580724137931036
LD12-15064R1a,control,3,47,14,48,18,17,40,16,40,4.67,13.1,37.62803295019157
LD12-15064R1a,intego,3,60,61,63,61,59,62,48,50,5.75,13.7,46.010134099616856
LD12-15156R1a,control,3,63,51,62,51,58,51,56,48,7,13.2,56.336858237547894
LD12-15156R1a,intego,3,57,42,60,44,45,59,46,34,6.22,12.8,50.290010727969346
LD11-7311,control,3,52,40,50,41,41,49,46,33,6.67,13.3,53.61913333333334
LD11-7311,intego,3,59,57,59,58,60,58,60,39,6.99,13.7,55.93231954022989
LD13-14071R2,control,3,57,53,58,53,52,43,43,46,8.43,13.9,67.29853103448275
LD13-14071R2,intego,3,56,62,57,60,55,60,44,49,8.6,13.7,68.81515708812259
LD10-10219,control,3,56,63,58,59,57,64,47,47,5.9,12.7,47.757448275862075
LD10-10219,intego,3,64,66,66,67,56,63,57,50,5.84,13.4,46.892738697318
LD07-3395bf,intego,3,57,64,60,67,55,65,50,66,7.78,14.2,61.893029885057466
LD07-3395bf,control,3,55,52,54,56,53,55,40,34,7.41,14.9,58.4685908045977
LD07-3395bf,intego,4,68,66,67,68,68,63,53,57,8.56,14.2,68.09824367816093
LD07-3395bf,control,4,58,49,58,49,49,59,42,35,7.93,14.2,63.08634022988505
LD11-13802R2,intego,4,52,62,63,57,53,55,57,46,6.99,13.9,55.80269655172414
LD11-13802R2,control,4,59,62,60,60,57,60,53,43,6.34,13.6,50.78995862068965
LD12-15129R1a,control,4,48,58,50,58,47,57,44,43,5.13,13.2,41.286868965517236
LD12-15129R1a,intego,4,66,58,64,59,66,58,46,50,6.21,14.8,49.05757241379311
LD12-15064R1a,intego,4,64,33,62,34,34,70,45,28,6.5,14.5,51.52931034482758
LD12-15064R1a,control,4,64,56,65,54,54,59,50,49,7.04,14.7,55.67965670498084
LD12-15156R1a,intego,4,56,55,60,56,56,56,37,44,6.8,13.5,54.53808429118774
LD12-15156R1a,control,4,34,54,54,38,37,55,43,31,6.12,13.4,49.14102068965517
LD11-7311,control,4,55,59,59,58,59,58,45,47,6.96,13.6,55.756800000000005
LD11-7311,intego,4,69,64,68,64,62,64,50,51,7.27,14,57.97059003831417
LD10-10219,intego,4,60,69,64,67,58,58,51,59,7.67,13.8,61.30240153256706
LD10-10219,control,4,66,60,68,60,61,59,52,50,8.6,14.1,68.49619923371647
LD13-14071R2,intego,4,64,50,63,52,52,64,32,42,8.8699999999999992,14,70.72890421455939
LD13-14071R2,control,4,59,57,59,57,56,63,50,42,7.35,13.9,58.67665517241379
LD13-13478R1a,control,4,54,61,54,62,57,61,48,55,5.79,12.4,47.02811034482759
LD13-13478R1a,intego,4,58,54,57,58,56,55,50,52,5.71,12.6,46.272439846743296
