location,variety,treatment,variety_treatment,block,sub_plot,vc_row1,vc_row2,v1_row1,v1_row2,r2_row1,r2_row2,r8_row1,r8_row2,damping_off,moisture,weight_kg,yield_bu.acre,vc_plants.m2,v1_plants.m2,r2_plants.m2,r8_plants.m2,yield.kg_ha,whole_plot
"Boone, IA",C2888RX,intego,1,1,101,31,35,35,33,36,32,32,34,0,6.73,0.14968536000000002,NA,14,15,15,14,NA,1:C2888RX
"Boone, IA",C2888RX,intego,1,2,209,26,28,25,32,25,32,28,30,0,9.68,2.83495,50.001,12,12,12,12,3139,2:C2888RX
"Boone, IA",C2888RX,intego,1,3,305,30,34,29,32,32,32,31,33,0,9.47,2.76237528,52.542,14,13,14,14,3298,3:C2888RX
"Boone, IA",C2888RX,intego,1,4,411,24,25,26,27,28,30,25,27,0,9.68,2.7442316,46.799,11,11,12,11,2938,4:C2888RX
"Boone, IA",C2888RX,control,2,1,102,26,22,28,25,28,26,25,22,0,9.98,2.18631344,53.475,10,11,12,10,3357,1:C2888RX
"Boone, IA",C2888RX,control,2,2,210,24,26,27,25,29,24,25,24,0,9.55,3.0345304800000004,46.655,11,11,11,11,2929,2:C2888RX
"Boone, IA",C2888RX,control,2,3,306,28,30,29,32,32,32,30,31,0,9.59,2.44032496,50.611,12,13,14,13,3177,3:C2888RX
"Boone, IA",C2888RX,control,2,4,412,21,20,22,24,23,26,19,22,0,9.56,2.8122704,44.726,9,10,11,9,2807,4:C2888RX
"Boone, IA",C3140RX,intego,3,1,103,24,26,23,25,23,27,25,26,0,9.64,2.41310944,45.845,11,10,11,11,2878,1:C3140RX
"Boone, IA",C3140RX,intego,3,2,207,30,26,32,25,33,24,28,26,0,9.71,2.34960656,46.928,12,12,12,12,2946,2:C3140RX
"Boone, IA",C3140RX,intego,3,3,313,24,27,25,24,28,28,25,29,0,9.7,2.7850548799999997,48.812,11,11,12,12,3064,3:C3140RX
"Boone, IA",C3140RX,intego,3,4,401,29,30,28,30,28,31,30,30,0,10.33,2.721552,52.112,13,12,13,13,3271,4:C3140RX
"Boone, IA",C3140RX,control,4,1,104,18,20,20,23,21,20,20,22,0,9.8,2.2362085599999997,41.797,8,9,9,9,2624,1:C3140RX
"Boone, IA",C3140RX,control,4,2,208,21,20,19,23,19,25,22,23,0,9.75,2.44032496,45.672,9,9,9,10,2867,2:C3140RX
"Boone, IA",C3140RX,control,4,3,314,14,15,15,16,15,16,15,16,0,9.9,2.17270568,32.621,6,7,7,7,2048,3:C3140RX
"Boone, IA",C3140RX,control,4,4,402,32,26,34,30,33,30,32,27,0,10.19,2.21352896,41.38,12,14,14,13,2597,4:C3140RX
"Boone, IA",AG28x7,intego,5,1,105,28,24,29,27,29,28,28,25,0,9.76,2.59908216,49.312,11,12,12,11,3095,1:AG28x7
"Boone, IA",AG28x7,intego,5,2,201,29,28,30,29,30,30,28,30,0,10.03,2.96195576,53.855,12,13,13,12,3380,2:AG28x7
"Boone, IA",AG28x7,intego,5,3,311,21,22,22,20,22,25,20,26,0,9.83,2.77144712,45.683,9,9,10,10,2868,3:AG28x7
"Boone, IA",AG28x7,intego,5,4,407,33,30,34,34,34,32,34,30,0,9.75,2.77598304,51.527,14,15,14,14,3234,4:AG28x7
"Boone, IA",AG28x7,control,6,1,106,24,26,25,25,25,25,25,26,0,9.8,2.44032496,51.504,11,11,11,11,3233,1:AG28x7
"Boone, IA",AG28x7,control,6,2,202,28,30,29,28,30,28,27,30,0,9.9,2.67165688,46.387,12,12,12,12,2912,2:AG28x7
"Boone, IA",AG28x7,control,6,3,312,22,23,24,26,24,21,22,20,0,9.86,2.52650744,38.284,10,11,10,9,2403,3:AG28x7
"Boone, IA",AG28x7,control,6,4,408,26,29,28,31,29,30,25,31,0,9.69,2.71248016,48.93,12,13,13,12,3071,4:AG28x7
"Boone, IA",NK2788X,intego,7,1,107,23,22,25,24,25,26,22,25,0,10,2.34960656,44.46,10,11,11,10,2791,1:NK2788X
"Boone, IA",NK2788X,intego,7,2,213,22,25,23,26,23,25,22,23,0,10.37,2.4902200800000003,40.747,10,11,10,10,2558,2:NK2788X
"Boone, IA",NK2788X,intego,7,3,303,33,35,32,34,35,34,32,34,0,10.17,2.67165688,52.876,15,14,15,14,3319,3:NK2788X
"Boone, IA",NK2788X,intego,7,4,409,25,22,26,20,25,20,25,22,0,10.1,2.72608792,37.389,10,10,10,10,2347,4:NK2788X
"Boone, IA",NK2788X,control,8,1,108,20,22,18,25,22,25,20,22,0,9.83,2.5809384800000004,40.525,9,9,10,9,2544,1:NK2788X
"Boone, IA",NK2788X,control,8,2,214,17,23,18,25,18,26,18,25,0,9.66,1.91415824,43.7,9,9,9,9,2743,2:NK2788X
"Boone, IA",NK2788X,control,8,3,304,20,22,20,23,20,25,20,22,0,10.15,2.41764536,46.305,9,9,10,9,2907,3:NK2788X
"Boone, IA",NK2788X,control,8,4,410,28,32,29,30,29,31,30,32,0,9.78,2.1364183199999998,49.887,13,13,13,13,3131,4:NK2788X
"Boone, IA",H2862NX,intego,9,1,109,23,25,20,28,22,26,25,27,0,9.77,2.28610368,43.369,10,10,10,11,2722,1:H2862NX
"Boone, IA",H2862NX,intego,9,2,211,24,25,26,24,23,24,23,25,0,9.76,2.63536952,39.581,11,11,10,10,2484,2:H2862NX
"Boone, IA",H2862NX,intego,9,3,307,27,24,28,28,28,26,28,25,0,9.76,2.2906396,50.459,11,12,12,11,3167,3:H2862NX
"Boone, IA",H2862NX,intego,9,4,403,24,25,25,36,28,35,25,25,0,10.08,1.97766112,51.31,11,13,14,11,3221,4:H2862NX
"Boone, IA",H2862NX,control,10,1,110,29,23,30,25,26,22,27,22,0,9.81,2.6308336,36.883,11,12,10,11,2315,1:H2862NX
"Boone, IA",H2862NX,control,10,2,212,23,24,25,25,25,25,24,25,0,9.72,2.4040376,43.092,10,11,11,11,2705,2:H2862NX
"Boone, IA",H2862NX,control,10,3,308,22,18,20,20,21,20,20,17,0,9.74,2.45846864,36.358,9,9,9,8,2282,3:H2862NX
"Boone, IA",H2862NX,control,10,4,404,23,20,24,21,24,22,22,20,0,9.85,1.94590968,42.409,9,10,10,9,2662,4:H2862NX
"Boone, IA",H2512NX,intego,11,1,111,27,28,28,30,28,30,26,28,0,10.11,2.43125312,45.949,12,12,12,12,2884,1:H2512NX
"Boone, IA",H2512NX,intego,11,2,203,25,28,24,26,24,25,26,29,0,9.97,2.09105912,44.604,11,11,11,12,2800,2:H2512NX
"Boone, IA",H2512NX,intego,11,3,309,24,21,23,20,24,20,25,22,0,9.79,2.4085735199999996,43.46,10,9,9,10,2728,3:H2512NX
"Boone, IA",H2512NX,intego,11,4,413,20,19,22,18,20,22,19,20,0,9.96,2.4720764,36.809,8,9,9,8,2311,4:H2512NX
"Boone, IA",H2512NX,control,12,1,112,23,25,25,23,27,26,25,25,0,9.81,2.3586784,44.99,10,10,11,11,2824,1:H2512NX
"Boone, IA",H2512NX,control,12,2,204,21,24,23,22,25,22,22,24,0,9.79,2.0184844,41.159,10,10,10,10,2584,2:H2512NX
"Boone, IA",H2512NX,control,12,3,310,30,31,32,28,32,27,30,29,0,9.81,2.27249592,45.632,13,13,13,13,2864,3:H2512NX
"Boone, IA",H2512NX,control,12,4,414,21,20,22,29,22,25,20,17,0,9.8,2.3722861600000003,36.157,9,11,10,8,2270,4:H2512NX
"Boone, IA",NK3195X,intego,13,1,113,24,25,27,22,28,23,24,26,0,9.55,2.3722861600000003,45.114,11,11,11,11,2832,1:NK3195X
"Boone, IA",NK3195X,intego,13,2,205,29,32,28,34,36,37,30,35,0,9.67,2.14549016,56.029,13,13,16,14,3517,2:NK3195X
"Boone, IA",NK3195X,intego,13,3,301,28,25,32,29,30,32,29,25,0,9.89,2.57640256,52.579,11,13,13,12,3300,3:NK3195X
"Boone, IA",NK3195X,intego,13,4,405,31,35,34,35,35,35,32,35,0,9.82,1.94137376,52.675,14,15,15,14,3306,4:NK3195X
"Boone, IA",NK3195X,control,14,1,114,17,16,19,15,17,14,15,16,0,9.73,1.9050864,31.423,7,7,7,7,1972,1:NK3195X
"Boone, IA",NK3195X,control,14,2,206,27,28,28,30,30,30,28,26,0,9.27,1.71004184,47.882,12,12,13,12,3006,2:NK3195X
"Boone, IA",NK3195X,control,14,3,302,30,35,32,31,32,32,30,34,0,9.8,2.30424736,57.708,14,14,14,14,3622,3:NK3195X
"Boone, IA",NK3195X,control,14,4,406,25,27,26,25,28,25,25,26,0,9.48,1.6510748800000001,46.28,11,11,11,11,2905,4:NK3195X
